burst,p256,f1,hr321,hr32,t50,t90 
5547,0.22531,-5.68316,1.18954,0.76844,-0.29073,-0.04769
2814,-0.11464,-6.69723,0.72196,0.53156,-1.19382,-1.19382
2326,-0.21681,-6.31376,0.71073,0.64156,-1.49485,-1.05552
3073,-0.17522,-7.01023,0.56323,0.43085,-1.55284,-1.25181
2395,-0.17005,-7.20508,0.54048,0.52079,-1.19382,-0.89279
2126,0.36511,-6.40864,0.81736,0.60848,-0.78252,-0.39686
2879,-0.1945,-7.28776,0.53658,0.53658,-1.09691,-0.75449
3919,-0.24489,-7.27394,0.331,0.30385,-1.31876,-0.87943
2502,0.15806,-6.18706,0.90735,0.78541,-0.69897,-0.29073
2823,-0.32057,-7.52876,0.4305,0.2677,-1.19382,-0.75449
3282,-0.01412,-6.80692,0.69409,0.56253,-1.46852,-1.10791
1288,0.81644,-4.4405,0.62255,0.48432,2.00097,2.50323
1223,-0.09909,-6.74691,0.19484,-0.25712,-0.46725,-0.01144
2117,-0.03292,-6.23915,0.90048,0.90048,-0.41567,-0.19382
3930,1.03019,-3.92717,0.78462,0.52491,0.93003,2.23738
1492,-0.27491,-5.99342,-0.18469,-0.60721,0.22115,0.61236
2801,-0.30803,-7.43408,0.44931,0.44931,-1.19382,-0.59176
2855,0.97896,-3.9504,0.81337,0.66717,1.12005,1.62835
3359,0.405,-6.24695,0.90027,0.58925,-0.75449,-0.46344
298,1.34335,-5.20163,0.68642,0.494,-0.95468,-0.34199
5537,-0.065,-6.501,0.89145,0.69799,-0.59176,-0.34872
734,-0.04866,-6.05415,1.04536,0.9503,-0.34872,0.25334
2330,0.69073,-5.74458,0.82494,0.62494,-1.05552,-0.09474
5206,0.41531,-5.58337,0.88202,0.74044,-0.75449,-0.51713
3668,0.32777,-5.5319,0.9566,0.66425,-1.11919,-0.75449
3736,1.04198,-5.29611,0.73819,0.5431,-1.09691,-0.25181
148,0.14737,-5.67808,0.10413,-0.19278,2.62222,2.65707
143,1.67732,-3.53436,0.77891,0.53486,0.82737,1.706
2585,-0.22695,-7.06045,0.1483,-0.07177,-0.34872,-0.07988
2112,-0.24109,-4.6885,0.08617,-0.28788,1.91542,2.31833
5498,-0.14752,-6.8015,0.79414,0.71615,-0.56384,-0.11407
1665,0.29994,-5.95487,0.89552,0.71375,-1.19382,-0.7167
3043,-0.29671,-7.43106,0.44813,0.09229,-1.25181,-0.98297
4327,0.52362,-6.40601,0.70975,0.56806,-1.19382,-0.89279
3323,0.07591,-6.27463,0.86901,0.86901,-0.75449,-0.34872
1634,0.256,-5.40177,1.14804,0.94373,-0.11464,0.1486
1154,0.21299,-5.92023,0.90499,0.8262,-0.98297,-0.71444
906,0.38039,-6.23504,0.87633,0.70681,-0.6517,-0.40012
480,0.28892,-5.93822,0.85384,0.6137,-1.72125,-1.17393
3502,0.32056,-6.15627,0.90765,0.76505,-0.68194,-0.38091
2377,0.46776,-5.59154,0.95086,0.74796,-0.5784,-0.30452
1566,-0.29843,-6.54211,0.70301,0.57519,-1.50864,-1.13077
512,0.03941,-6.36944,0.78298,0.78298,-1.4437,-0.73755
1974,0.74749,-5.12331,-0.17459,-0.45278,0.60552,0.85926
2151,2.02145,-4.17643,0.77753,0.53963,0.0103,1.2833
1128,-0.46344,-7.57503,0.50038,0.38161,-0.80134,-0.53018
5503,-0.30103,-5.78993,-0.05798,-0.45368,1.8552,2.3011
2952,0.56879,-5.6103,0.90565,0.70526,-0.73518,-0.16749
3094,0.07188,-5.97404,1.07992,0.88181,-0.49485,-0.36452
3530,0.08743,-6.08529,-0.11234,-0.43054,-0.29073,0.20412
2463,-0.23062,-6.8001,0.20264,0.01949,-1.19382,-1.19382
4251,-0.42946,-6.27432,-0.38504,-0.74975,0.69267,1.12529
